variant,model,selected_gamma,selected_train_oof_mae,base_train_oof_mae,MAE,RMSE,R2,MedianAbsError,P90AbsError,P95AbsError,W30,W60,MeanError_pred_minus_actual,UnderestimationRate,OverestimationRate,N,gain_vs_base,gain_vs_base_CI95,MAE_CI95,delta_vs_31_794666,delta_vs_32_028831,meta_json
pls_hs_raw_word160_22_basic,sgd_huber,1.475,32.77537878929174,32.966712482938256,31.804820623898735,47.00229255271479,0.7546205082258521,21.407386044710677,69.48506383329611,91.99203275591108,0.6213455442057062,0.8636843959140542,-2.4560470076287824,0.4811553363860514,0.5188446636139485,2839,0.4348152507645075,"[0.2992363698094103, 0.592517443837007]","[30.591571749664723, 33.179755947384386]",0.010154623898735338,-0.22401037610126195,"{""model"": ""sgd_huber"", ""residual_oof_mae"": 32.795886241350395}"
pls_hs_word160_30_basic,sgd_huber,1.35,32.789747412293664,32.966712482938256,31.80608571445108,46.91356420736316,0.755546061640572,21.591822668639878,69.09233110828885,92.11602722319765,0.618879887284255,0.8615709756956675,-1.7285785772144306,0.46953152518492425,0.5304684748150758,2839,0.4335501602121674,"[0.3105739027174532, 0.5598901418750658]","[30.44000522827495, 33.11202267471477]",0.011419714451079699,-0.2227452855489176,"{""model"": ""sgd_huber"", ""residual_oof_mae"": 32.80143453962446}"
pls_raw_word160_22_geom,sgd_huber,1.25,32.80968165145353,32.966712482938256,31.81046878329697,47.072685756528905,0.7538849703544614,21.427745652691527,69.27600194722179,93.38537196327842,0.6216977809087707,0.8622754491017964,-2.397759096188249,0.4811553363860514,0.5188446636139485,2839,0.4291670913662756,"[0.3041383995216035, 0.5630383430866052]","[30.612178019730855, 33.13392196124713]",0.01580278329696938,-0.2183622167030279,"{""model"": ""sgd_huber"", ""residual_oof_mae"": 32.81733369320728}"
pls_hs_raw_word160_24_basic,sgd_huber,1.375,32.78760785349493,32.966712482938256,31.814286107211757,47.025279596900376,0.7543804378717093,21.395771762184694,69.33498786563436,91.94733214492359,0.618879887284255,0.8633321592109898,-2.4306615957148794,0.4804508629799225,0.5195491370200775,2839,0.4253497674514815,"[0.2705651952038964, 0.5789661573059559]","[30.393167046096906, 33.31458224827394]",0.019620107211757443,-0.21454489278823985,"{""model"": ""sgd_huber"", ""residual_oof_mae"": 32.8029397043428}"
pls_raw_word160_30_delta,sgd_huber,1.4500000000000002,32.79120101128359,32.966712482938256,31.814337525909142,47.042583063508815,0.7541996478005822,21.395279815315632,69.77926795971335,92.55682184207492,0.6195843606903839,0.8622754491017964,-2.2007653239601646,0.4783374427615357,0.5216625572384642,2839,0.4252983487541018,"[0.285553652729123, 0.5630156016205347]","[30.66072774822959, 33.344800015044704]",0.019671525909142673,-0.21449347409085462,"{""model"": ""sgd_huber"", ""residual_oof_mae"": 32.80687527811121}"
pls_raw_word160_28_geom,sgd_huber,1.125,32.78828357448069,32.966712482938256,31.81486137860211,46.972723672124644,0.7549291448590801,21.359845736224173,69.32896926631409,92.0575663425513,0.6209933075026418,0.8601620288834096,-1.774948288562292,0.47481507573089116,0.5251849242691088,2839,0.42477449606113304,"[0.2862121011909228, 0.559891200934984]","[30.699427107131882, 32.843849355356994]",0.020195378602110736,-0.21396962139788656,"{""model"": ""sgd_huber"", ""residual_oof_mae"": 32.790970056063436}"
pls_hs_raw_word160_28_basic,sgd_huber,1.3,32.77887018112643,32.966712482938256,31.817161350638152,46.95240289586564,0.755141138221409,21.576704224087536,69.09141514071092,91.52957846377065,0.6216977809087707,0.8622754491017964,-1.8091323457419461,0.4709404719971821,0.5290595280028179,2839,0.4224745240250903,"[0.2803320641858539, 0.5441528020383449]","[30.3079109779713, 33.03355008362906]",0.022495350638152445,-0.21166964936184485,"{""model"": ""sgd_huber"", ""residual_oof_mae"": 32.78829395962943}"
pls_raw_word160_20_geom,sgd_huber,1.3250000000000002,32.81124767090144,32.966712482938256,31.822534107507785,47.08533309938574,0.7537527017461358,21.394429631906007,69.24162517137692,93.73234919555709,0.6220500176118352,0.861218738992603,-2.392076010952273,0.48009862627685806,0.5199013737231419,2839,0.4171017671554635,"[0.29216909065732183, 0.5469076714267985]","[30.393117150195692, 33.11390511186421]",0.027868107507785567,-0.20629689249221173,"{""model"": ""sgd_huber"", ""residual_oof_mae"": 32.820397752784835}"
pls_raw_word160_20_delta,sgd_huber,1.6,32.80886277226881,32.966712482938256,31.823041107367956,47.13158863648684,0.7532686488543403,21.46705056006924,69.59238907630458,93.42437341352476,0.6227544910179641,0.8619232123987319,-2.7070992115016335,0.4783374427615357,0.5216625572384642,2839,0.4165947672952924,"[0.2867933489569206, 0.5404469497703374]","[30.64591969791671, 33.07034116861015]",0.028375107367956787,-0.2057898926320405,"{""model"": ""sgd_huber"", ""residual_oof_mae"": 32.8352016335482}"
pls_hs_raw_word160_30_basic,sgd_huber,1.2750000000000001,32.77491793378128,32.966712482938256,31.824252088017673,46.92820938230871,0.7553934136993793,21.630362758985967,68.93746433412215,91.89018245960098,0.6227544910179641,0.8622754491017964,-1.5731161898206942,0.4691792884818598,0.5308207115181401,2839,0.4153837866455675,"[0.2889370470773381, 0.5566804383389412]","[30.914800399716338, 33.19949157783882]",0.029586088017673262,-0.20457891198232403,"{""model"": ""sgd_huber"", ""residual_oof_mae"": 32.78475403848035}"
