feature,pls_component,block,coef,mean_contribution_minutes,mean_abs_contribution_minutes,p90_abs_contribution_minutes,positive_rate
diff_18,18,diff,-0.15911433100700378,-0.006435356568545103,0.16164162755012512,0.3312709927558899,0.5015850651637901
product_03,3,product,0.1346157342195511,-0.0002467507147230208,0.16066834330558777,0.3101032078266144,0.34941880943994363
product_24,24,product,-0.16080999374389648,0.021761365234851837,0.16032157838344574,0.37195783853530884,0.6674885523071504
product_05,5,product,-0.23990844190120697,0.01766122132539749,0.15601740777492523,0.20134158432483673,0.8119056005635787
absdiff_16,16,absdiff,-0.12473369389772415,-0.01666044443845749,0.1542855203151703,0.2900957763195038,0.5456146530468475
absdiff_10,10,absdiff,0.1351420283317566,-0.0008085491135716438,0.14667806029319763,0.25637081265449524,0.41423036280380415
product_20,20,product,-0.2435317486524582,0.03787558525800705,0.13792899250984192,0.2780299186706543,0.7597745685100388
diff_14,14,diff,0.11286749690771103,0.04196584224700928,0.1377583146095276,0.2865351140499115,0.6009158154279676
diff_25,25,diff,-0.10493623465299606,-0.053392443805933,0.1317598521709442,0.27454903721809387,0.3508277562522015
product_26,26,product,0.15804927051067352,-0.024719640612602234,0.13155347108840942,0.3012545108795166,0.31313842902430433
product_12,12,product,0.14443165063858032,-0.015310925431549549,0.11646617949008942,0.21193888783454895,0.2250792532581895
diff_15,15,diff,0.10194966942071915,0.016120314598083496,0.11505641788244247,0.24255900084972382,0.5265938710813667
product_10,10,product,-0.19074061512947083,0.04194704443216324,0.11178896576166153,0.1971433460712433,0.7890102148643888
diff_20,20,diff,0.10143762081861496,-0.003096669213846326,0.10890964418649673,0.23185721039772034,0.5121521662557238
product_19,19,product,0.1285456418991089,0.007190822623670101,0.10011712461709976,0.16943204402923584,0.2634730538922156
absdiff_23,23,absdiff,-0.0887286588549614,-0.00163276435341686,0.09992695599794388,0.1718536913394928,0.5921098978513561
absdiff_11,11,absdiff,-0.08231097459793091,0.009848574176430702,0.09531358629465103,0.16014514863491058,0.6174709404719971
product_17,17,product,0.09670528024435043,-0.013689861632883549,0.08956305682659149,0.2083645761013031,0.2736879182810849
product_01,1,product,-0.13482362031936646,0.022419068962335587,0.08642162382602692,0.09967382252216339,0.8548784783374428
absdiff_26,26,absdiff,0.07014399766921997,-0.002366102999076247,0.07936488837003708,0.13547742366790771,0.39873194786896793
absdiff_22,22,absdiff,-0.0641326978802681,0.001614523702301085,0.07385210692882538,0.13268132507801056,0.5850651637900669
product_25,25,product,-0.07525156438350677,0.012810997664928436,0.07086408138275146,0.16571538150310516,0.6861570975695668
product_23,23,product,0.11095067858695984,-0.008163463324308395,0.06901320070028305,0.1383790522813797,0.2743923916872138
absdiff_06,6,absdiff,-0.06948453933000565,-0.012509940192103386,0.06596872955560684,0.1132730096578598,0.588939767523776
product_18,18,product,-0.08269302546977997,0.015265866182744503,0.04928527772426605,0.09469453990459442,0.779147587178584
product_08,8,product,0.050057362765073776,-0.004849479533731937,0.035649124532938004,0.050111036747694016,0.20359281437125748
product_14,14,product,-0.04449068009853363,0.0055580963380634785,0.0351751372218132,0.06657304614782333,0.7868967946460022
absdiff_02,2,absdiff,-0.027961859479546547,-0.0015244014794006944,0.03366071730852127,0.059364404529333115,0.5907009510390983
product_21,21,product,0.03715996816754341,-0.003982193302363157,0.027646666392683983,0.053591661155223846,0.23740753786544558
diff_22,22,diff,0.02111058123409748,-0.005434483755379915,0.025051485747098923,0.05294213071465492,0.43148996125396266
absdiff_25,25,absdiff,-0.02039629966020584,-0.002181269694119692,0.024039458483457565,0.04533068463206291,0.5611130679816837
product_04,4,product,-0.018937652930617332,0.0004109275178052485,0.022355984896421432,0.04027398303151131,0.6202888340965128
diff_10,10,diff,0.018861794844269753,0.0004207176389172673,0.02184257097542286,0.045597925782203674,0.5125044029587883
product_15,15,product,-0.025822270661592484,0.004671785980463028,0.021020803600549698,0.040510039776563644,0.7851356111306799
product_13,13,product,0.020993942394852638,-0.0028325947932899,0.015195891261100769,0.0310366228222847,0.2754491017964072
absdiff_20,20,absdiff,0.014089316129684448,-0.0015622206265106797,0.01472144853323698,0.02403387613594532,0.3804156393096161
absdiff_15,15,absdiff,-0.012826517224311829,0.0011198174906894565,0.01446148194372654,0.02376132644712925,0.6192321239873195
diff_05,5,diff,0.006113458424806595,-0.0006242353119887412,0.0068312231451272964,0.014100706204771996,0.4660091581542797
product_06,6,product,0.005652048159390688,-8.182620513252914e-05,0.0020615148823708296,0.0015982971526682377,0.06903839380063402
